Ensembl_gene_ID	Ensembl_transcript_ID	Gene_symbol	Intron1	Intron2	Intron3	Intron4	Intron5	Intron6
ENSMUSG00000094464	ENSMUST00000216645	Olfr339	2310					
ENSMUSG00000094266	ENSMUST00000072854	Olfr340	0					
ENSMUSG00000075387	ENSMUST00000213300	Olfr341	1751	363				
ENSMUSG00000111869	ENSMUST00000216275	Olfr342	1778	197				
ENSMUSG00000111869	ENSMUST00000074192	Olfr342	0					
ENSMUSG00000096822	ENSMUST00000215879	Olfr344	1842					
ENSMUSG00000059251	ENSMUST00000076850	Olfr345	0					
ENSMUSG00000094764	ENSMUST00000213258	Olfr346	356	1046				
ENSMUSG00000111863	ENSMUST00000216882	Olfr347	2354					
ENSMUSG00000049315	ENSMUST00000213498	Olfr348	2183					
ENSMUSG00000049315	ENSMUST00000214909	Olfr348	2089					
ENSMUSG00000049315	ENSMUST00000215199	Olfr348	2086					
ENSMUSG00000111021	ENSMUST00000217041	Olfr50	1856	564				
ENSMUSG00000111021	ENSMUST00000216753	Olfr50	1760	564				
ENSMUSG00000111021	ENSMUST00000112950	Olfr50	0					
ENSMUSG00000075384	ENSMUST00000213988	Olfr3	3523					
ENSMUSG00000050015	ENSMUST00000215100	Olfr350	176	3131				
ENSMUSG00000050015	ENSMUST00000214457	Olfr350	240	3131				
ENSMUSG00000075383	ENSMUST00000213676	Olfr351	1695					
ENSMUSG00000075383	ENSMUST00000215137	Olfr351	2266					
ENSMUSG00000053146	ENSMUST00000217325	Olfr352	989					
ENSMUSG00000075382	ENSMUST00000217215	Olfr353	1471					
ENSMUSG00000075382	ENSMUST00000215925	Olfr353	1237					
ENSMUSG00000055088	ENSMUST00000217479	Olfr354	820					
ENSMUSG00000075380	ENSMUST00000213574	Olfr355	98					
ENSMUSG00000070943	ENSMUST00000095021	Olfr356	0					
ENSMUSG00000055838	ENSMUST00000213218	Olfr357	2654					
ENSMUSG00000055838	ENSMUST00000069578	Olfr357	0					
ENSMUSG00000075379	ENSMUST00000216437	Olfr358	1956	255				
ENSMUSG00000075379	ENSMUST00000100146	Olfr358	0					
ENSMUSG00000083361	ENSMUST00000216706	Olfr360	2090					
ENSMUSG00000075378	ENSMUST00000216663	Olfr361	420	2453				
ENSMUSG00000075378	ENSMUST00000214969	Olfr361	420	1060	1326			
ENSMUSG00000075377	ENSMUST00000213817	Olfr362	11690	329				
ENSMUSG00000075377	ENSMUST00000215927	Olfr362	11677	329				
ENSMUSG00000078198	ENSMUST00000217298	Olfr364-ps1	315	3876	2174			
ENSMUSG00000078198	ENSMUST00000214905	Olfr364-ps1	4371	2174				
ENSMUSG00000078198	ENSMUST00000104995	Olfr364-ps1	4371	2269				
ENSMUSG00000059429	ENSMUST00000213969	Olfr365	12489					
ENSMUSG00000059429	ENSMUST00000218602	Olfr365	10372					
ENSMUSG00000068947	ENSMUST00000214897	Olfr366	7600					
ENSMUSG00000049018	ENSMUST00000217299	Olfr368	1212	3846				
ENSMUSG00000075223	ENSMUST00000216347	Olfr987	3078	4006				
ENSMUSG00000075223	ENSMUST00000099929	Olfr987	0					
ENSMUSG00000075223	ENSMUST00000111598	Olfr987	3078	864	2969			
ENSMUSG00000075222	ENSMUST00000111597	Olfr988	8929					
ENSMUSG00000075222	ENSMUST00000215511	Olfr988	3163	5731				
ENSMUSG00000075222	ENSMUST00000099928	Olfr988	0					
ENSMUSG00000075221	ENSMUST00000214895	Olfr992	1213	4664	91	2427		
ENSMUSG00000075221	ENSMUST00000213749	Olfr992	1213	4664	2615			
ENSMUSG00000075221	ENSMUST00000215617	Olfr992	1213	4785	2615			
ENSMUSG00000075220	ENSMUST00000099926	Olfr993	0					
ENSMUSG00000075219	ENSMUST00000214679	Olfr994	5240					
ENSMUSG00000075219	ENSMUST00000217218	Olfr994	5434					
ENSMUSG00000075218	ENSMUST00000216933	Olfr995	4406					
ENSMUSG00000075218	ENSMUST00000099924	Olfr995	0					
ENSMUSG00000111179	ENSMUST00000077075	Olfr996	0					
ENSMUSG00000111454	ENSMUST00000215083	Olfr998	1547					
ENSMUSG00000111454	ENSMUST00000052307	Olfr998	0					
ENSMUSG00000075215	ENSMUST00000216571	Olfr1000	2804					
ENSMUSG00000075215	ENSMUST00000213837	Olfr1000	2952					
ENSMUSG00000075214	ENSMUST00000215548	Olfr1002	2353					
ENSMUSG00000075212	ENSMUST00000099918	Olfr154	0					
ENSMUSG00000075211	ENSMUST00000216084	Olfr1006	3180					
ENSMUSG00000075211	ENSMUST00000099917	Olfr1006	3544					
ENSMUSG00000050603	ENSMUST00000054868	Olfr1008	0					
ENSMUSG00000043226	ENSMUST00000216443	Olfr1009	3994	1677				
ENSMUSG00000075210	ENSMUST00000214255	Olfr1012	998	635				
ENSMUSG00000075210	ENSMUST00000214958	Olfr1012	2338					
ENSMUSG00000053287	ENSMUST00000216397	Olfr1013	2627					
ENSMUSG00000059379	ENSMUST00000213453	Olfr1014	3815					
ENSMUSG00000033850	ENSMUST00000215945	Olfr1015	3313					
ENSMUSG00000075209	ENSMUST00000217410	Olfr1016	2189					
ENSMUSG00000075209	ENSMUST00000216425	Olfr1016	2229					
ENSMUSG00000043892	ENSMUST00000214416	Olfr1018	2557					
ENSMUSG00000075208	ENSMUST00000213515	Olfr1019	986	859	987			
ENSMUSG00000046975	ENSMUST00000215347	Olfr1020	2125					
ENSMUSG00000046975	ENSMUST00000055840	Olfr1020	0					
ENSMUSG00000057761	ENSMUST00000054736	Olfr1022	0					
ENSMUSG00000050128	ENSMUST00000213441	Olfr1023	834					
ENSMUSG00000075206	ENSMUST00000099912	Olfr1024	0					
ENSMUSG00000058884	ENSMUST00000213474	Olfr1025-ps1	1509	1102				
ENSMUSG00000042863	ENSMUST00000219615	Olfr1026	1601					
ENSMUSG00000042863	ENSMUST00000217615	Olfr1026	1471					
ENSMUSG00000042863	ENSMUST00000056718	Olfr1026	0					
ENSMUSG00000057207	ENSMUST00000080698	Olfr1028	0					
ENSMUSG00000059873	ENSMUST00000217244	Olfr1029	1276					
ENSMUSG00000059873	ENSMUST00000082191	Olfr1029	0					
ENSMUSG00000044923	ENSMUST00000056849	Olfr1030	4497					
ENSMUSG00000043267	ENSMUST00000216807	Olfr1031	1455					
ENSMUSG00000042796	ENSMUST00000111589	Olfr1032	2193					
ENSMUSG00000042796	ENSMUST00000079298	Olfr1032	1029					
ENSMUSG00000045392	ENSMUST00000213774	Olfr1033	20484					
ENSMUSG00000045392	ENSMUST00000214546	Olfr1033	14046	6380				
ENSMUSG00000045392	ENSMUST00000215682	Olfr1033	20544					
ENSMUSG00000045392	ENSMUST00000218397	Olfr1033	2652					
ENSMUSG00000102091	ENSMUST00000213496	Olfr1034	0					
ENSMUSG00000099820	ENSMUST00000164985	Olfr1036	0					
ENSMUSG00000075205	ENSMUST00000216886	Olfr1037	139	818				
ENSMUSG00000075205	ENSMUST00000213333	Olfr1037	284	818				
ENSMUSG00000075205	ENSMUST00000216020	Olfr1037	538	818				
ENSMUSG00000075205	ENSMUST00000099911	Olfr1037	0					
ENSMUSG00000075204	ENSMUST00000216566	Olfr1039	805	706	2257			
ENSMUSG00000075204	ENSMUST00000214364	Olfr1039	1752	2257				
ENSMUSG00000075203	ENSMUST00000099909	Olfr1040	0					
ENSMUSG00000075202	ENSMUST00000099908	Olfr1042	971					
ENSMUSG00000075202	ENSMUST00000215624	Olfr1042	0					
ENSMUSG00000075201	ENSMUST00000213949	Olfr1043	185	3035	635			
ENSMUSG00000075201	ENSMUST00000213886	Olfr1043	185	3138	635			
ENSMUSG00000075201	ENSMUST00000216028	Olfr1043	185	2989	635			
ENSMUSG00000075200	ENSMUST00000215171	Olfr1044	5966					
ENSMUSG00000075199	ENSMUST00000215138	Olfr52	3521					
ENSMUSG00000075198	ENSMUST00000215763	Olfr1045	4060					
ENSMUSG00000075197	ENSMUST00000213987	Olfr1046	1558					
ENSMUSG00000075196	ENSMUST00000216056	Olfr1047	2385					
ENSMUSG00000075195	ENSMUST00000215607	Olfr1048	3358					
ENSMUSG00000075194	ENSMUST00000216185	Olfr1049	972	1529				
ENSMUSG00000075194	ENSMUST00000099899	Olfr1049	0					
ENSMUSG00000075193	ENSMUST00000216432	Olfr1051	975	1493				
ENSMUSG00000075193	ENSMUST00000217294	Olfr1051	856	1493				
ENSMUSG00000075193	ENSMUST00000217245	Olfr1051	890	1493				
ENSMUSG00000047149	ENSMUST00000215090	Olfr1052	891					
ENSMUSG00000047149	ENSMUST00000217166	Olfr1052	5085					
ENSMUSG00000075192	ENSMUST00000099897	Olfr1053	0					
ENSMUSG00000075190	ENSMUST00000213205	Olfr1054	698	1191				
ENSMUSG00000075189	ENSMUST00000099894	Olfr1055	2473					
ENSMUSG00000075189	ENSMUST00000213564	Olfr1055	2217					
ENSMUSG00000075188	ENSMUST00000216547	Olfr1056	2734	3125				
ENSMUSG00000075187	ENSMUST00000217435	Olfr1057	2584					
ENSMUSG00000075186	ENSMUST00000213998	Olfr1058	2092					
ENSMUSG00000075185	ENSMUST00000099889	Olfr1061	0					
ENSMUSG00000090059	ENSMUST00000217481	Olfr1062	2625					
ENSMUSG00000111306	ENSMUST00000216162	Olfr1065	2708	1777				
ENSMUSG00000111306	ENSMUST00000217586	Olfr1065	2708	1752				
ENSMUSG00000111306	ENSMUST00000213789	Olfr1065	2708	1772				
ENSMUSG00000075181	ENSMUST00000099885	Olfr1066	0					
ENSMUSG00000111772	ENSMUST00000217292	Olfr228	3612					
ENSMUSG00000060742	ENSMUST00000076263	Olfr1076	0					
ENSMUSG00000075179	ENSMUST00000111582	Olfr1079	2295	1084				
ENSMUSG00000075179	ENSMUST00000216480	Olfr1079	2377	1084				
ENSMUSG00000110912	ENSMUST00000213185	Olfr1080	3979					
ENSMUSG00000111689	ENSMUST00000215600	Olfr1082	3935					
ENSMUSG00000110804	ENSMUST00000216851	Olfr1084	0					
ENSMUSG00000075176	ENSMUST00000213279	Olfr1085	2451	700				
ENSMUSG00000075176	ENSMUST00000214566	Olfr1085	3226					
ENSMUSG00000075175	ENSMUST00000213198	Olfr1086	2722					
ENSMUSG00000075174	ENSMUST00000214141	Olfr1087	7300					
ENSMUSG00000111711	ENSMUST00000214317	Olfr1089	0					
ENSMUSG00000075172	ENSMUST00000215991	Olfr1090	4128					
ENSMUSG00000075172	ENSMUST00000217043	Olfr1090	4216					
ENSMUSG00000047969	ENSMUST00000213354	Olfr1093	2300	598				
ENSMUSG00000047969	ENSMUST00000219561	Olfr1093	3014					
ENSMUSG00000078420	ENSMUST00000216117	Olfr141	2950					
ENSMUSG00000044213	ENSMUST00000217509	Olfr1094	3927					
ENSMUSG00000075171	ENSMUST00000099874	Olfr1095	0					
ENSMUSG00000086338	ENSMUST00000130722	Olfr1096-ps1	756					
ENSMUSG00000075170	ENSMUST00000217403	Olfr1097	1014					
ENSMUSG00000075170	ENSMUST00000111576	Olfr1097	715					
ENSMUSG00000075169	ENSMUST00000111574	Olfr1098	712					
ENSMUSG00000075168	ENSMUST00000213456	Olfr1099	701					
ENSMUSG00000075168	ENSMUST00000099871	Olfr1099	0					
ENSMUSG00000070875	ENSMUST00000117211	Olfr1100	989					
ENSMUSG00000075167	ENSMUST00000214411	Olfr1101	1696					
ENSMUSG00000049843	ENSMUST00000214002	Olfr1102	3415					
ENSMUSG00000075166	ENSMUST00000214857	Olfr1104	3273	412				
ENSMUSG00000075166	ENSMUST00000215972	Olfr1104	3169	412				
ENSMUSG00000075165	ENSMUST00000215978	Olfr1105	2260					
ENSMUSG00000075164	ENSMUST00000217650	Olfr1106	2890					
ENSMUSG00000075164	ENSMUST00000213781	Olfr1106	2893					
ENSMUSG00000075163	ENSMUST00000214049	Olfr1107	260	2499				
ENSMUSG00000075161	ENSMUST00000217066	Olfr1109	2430					
ENSMUSG00000075161	ENSMUST00000214636	Olfr1109	1315	1016				
ENSMUSG00000075160	ENSMUST00000215828	Olfr259	860	413				
ENSMUSG00000075160	ENSMUST00000213978	Olfr259	2616	413				
ENSMUSG00000075160	ENSMUST00000216088	Olfr259	5554	413				
ENSMUSG00000075159	ENSMUST00000152758	Olfr1110	3469					
ENSMUSG00000075158	ENSMUST00000214492	Olfr1111	1291					
ENSMUSG00000075158	ENSMUST00000216378	Olfr1111	1808					
ENSMUSG00000044487	ENSMUST00000216772	Olfr1112	3527					
ENSMUSG00000070857	ENSMUST00000215611	Olfr1113	3732					
ENSMUSG00000070856	ENSMUST00000214119	Olfr1115	2227	1174				
ENSMUSG00000070856	ENSMUST00000217196	Olfr1115	3738					
ENSMUSG00000070856	ENSMUST00000213513	Olfr1115	2227					
ENSMUSG00000070855	ENSMUST00000216364	Olfr1116	1074					
ENSMUSG00000083706	ENSMUST00000216396	Olfr1118	1065					
ENSMUSG00000081234	ENSMUST00000215163	Olfr1120	2568					
ENSMUSG00000081234	ENSMUST00000058737	Olfr1120	0					
ENSMUSG00000070852	ENSMUST00000213792	Olfr1121	1579					
ENSMUSG00000047594	ENSMUST00000215371	Olfr1122	1046					
ENSMUSG00000043274	ENSMUST00000216208	Olfr1123	1332					
ENSMUSG00000050772	ENSMUST00000215909	Olfr1124	1641	2286				
ENSMUSG00000058194	ENSMUST00000213366	Olfr1126	3123					
ENSMUSG00000061520	ENSMUST00000217113	Olfr153	0					
ENSMUSG00000075156	ENSMUST00000102624	Olfr1128	0					
ENSMUSG00000062272	ENSMUST00000214773	Olfr1129	946					
ENSMUSG00000062272	ENSMUST00000213315	Olfr1129	1103					
ENSMUSG00000059205	ENSMUST00000213103	Olfr1130	998					
ENSMUSG00000059205	ENSMUST00000216580	Olfr1130	949					
ENSMUSG00000068819	ENSMUST00000216756	Olfr1131	1641					
ENSMUSG00000068819	ENSMUST00000213302	Olfr1131	1306					
ENSMUSG00000068818	ENSMUST00000216082	Olfr1132	1693					
ENSMUSG00000075155	ENSMUST00000217368	Olfr1133	1202					
ENSMUSG00000111747	ENSMUST00000135875	Olfr1134	1497					
ENSMUSG00000111747	ENSMUST00000213939	Olfr1134	0					
ENSMUSG00000111747	ENSMUST00000099857	Olfr1134	1408					
ENSMUSG00000075153	ENSMUST00000213835	Olfr1135	1182					
ENSMUSG00000075151	ENSMUST00000077471	Olfr1136	0					
ENSMUSG00000075150	ENSMUST00000214209	Olfr1137	1234					
ENSMUSG00000075149	ENSMUST00000214573	Olfr1138	1621					
ENSMUSG00000068817	ENSMUST00000214723	Olfr1140	2407					
ENSMUSG00000068817	ENSMUST00000217572	Olfr1140	0					
ENSMUSG00000075148	ENSMUST00000099846	Olfr1141	0					
ENSMUSG00000068816	ENSMUST00000105210	Olfr152	3006					
ENSMUSG00000068816	ENSMUST00000215394	Olfr152	1850					
ENSMUSG00000068815	ENSMUST00000111568	Olfr1143	1713					
ENSMUSG00000068815	ENSMUST00000099852	Olfr1143	798	857				
ENSMUSG00000068814	ENSMUST00000079711	Olfr1145	0					
ENSMUSG00000061875	ENSMUST00000215230	Olfr1148	2176					
ENSMUSG00000070853	ENSMUST00000121186	Olfr1150-ps1	2238					
ENSMUSG00000047039	ENSMUST00000217376	Olfr1151	1196					
ENSMUSG00000045225	ENSMUST00000213308	Olfr1152	1464					
ENSMUSG00000048197	ENSMUST00000217436	Olfr1153	1205					
ENSMUSG00000075146	ENSMUST00000215017	Olfr1154	685	309				
ENSMUSG00000075146	ENSMUST00000215862	Olfr1154	1280					
ENSMUSG00000075145	ENSMUST00000214641	Olfr1155	550					
ENSMUSG00000075145	ENSMUST00000215903	Olfr1155	1371					
ENSMUSG00000075144	ENSMUST00000216191	Olfr1156	2748					
ENSMUSG00000075144	ENSMUST00000216726	Olfr1156	2671					
ENSMUSG00000075143	ENSMUST00000099841	Olfr1157	5194					
ENSMUSG00000075142	ENSMUST00000099840	Olfr74	0					
ENSMUSG00000062793	ENSMUST00000102622	Olfr1158	0					
ENSMUSG00000075141	ENSMUST00000215457	Olfr1160	1300					
ENSMUSG00000045150	ENSMUST00000217006	Olfr1161	546					
ENSMUSG00000045150	ENSMUST00000214438	Olfr1161	1804					
ENSMUSG00000075140	ENSMUST00000129056	Olfr73	2364					
ENSMUSG00000075139	ENSMUST00000183862	Olfr1162	410					
ENSMUSG00000075137	ENSMUST00000215268	Olfr1163	403					
ENSMUSG00000075136	ENSMUST00000099834	Olfr1164	0					
ENSMUSG00000101078	ENSMUST00000217575	Olfr1166	2909					
ENSMUSG00000100899	ENSMUST00000216951	Olfr1167	4768					
ENSMUSG00000061342	ENSMUST00000215996	Olfr1168	2718					
ENSMUSG00000075133	ENSMUST00000214386	Olfr1170	2882					
ENSMUSG00000075132	ENSMUST00000099830	Olfr1173	4568					
ENSMUSG00000075132	ENSMUST00000216887	Olfr1173	0					
ENSMUSG00000080713	ENSMUST00000213348	Olfr1174-ps	3114					
ENSMUSG00000083855	ENSMUST00000214207	Olfr1175-ps	3470					
ENSMUSG00000050023	ENSMUST00000213778	Olfr1176	2505					
ENSMUSG00000075128	ENSMUST00000216713	Olfr1177-ps	1540					
ENSMUSG00000056995	ENSMUST00000214040	Olfr1178	3949					
ENSMUSG00000075127	ENSMUST00000213157	Olfr1179	688	2598				
ENSMUSG00000081836	ENSMUST00000217320	Olfr1180	1887	4495				
ENSMUSG00000081836	ENSMUST00000216121	Olfr1180	6424					
ENSMUSG00000075125	ENSMUST00000213190	Olfr1181	361	1556				
ENSMUSG00000075125	ENSMUST00000102619	Olfr1181	140	1556				
ENSMUSG00000090097	ENSMUST00000179450	Olfr1182	359	1566				
ENSMUSG00000090097	ENSMUST00000126038	Olfr1182	151	141	1566			
ENSMUSG00000049372	ENSMUST00000219871	Olfr1183	3479	2501				
ENSMUSG00000049372	ENSMUST00000213115	Olfr1183	3479	2596				
ENSMUSG00000051424	ENSMUST00000216675	Olfr1184	541	1982				
ENSMUSG00000057735	ENSMUST00000075025	Olfr1185-ps1	5386					
ENSMUSG00000082882	ENSMUST00000216978	Olfr1186	6495					
ENSMUSG00000082882	ENSMUST00000215912	Olfr1186	2029	4357				
ENSMUSG00000082882	ENSMUST00000121619	Olfr1186	0					
ENSMUSG00000068809	ENSMUST00000217131	Olfr1188	2475					
ENSMUSG00000068808	ENSMUST00000213679	Olfr1189	4326					
ENSMUSG00000081948	ENSMUST00000217379	Olfr1191-ps1	977	150	837			
ENSMUSG00000081948	ENSMUST00000120598	Olfr1191-ps1	977	837				
ENSMUSG00000111590	ENSMUST00000120518	Olfr1192-ps1	3253					
ENSMUSG00000060827	ENSMUST00000216767	Olfr1193	979	847				
ENSMUSG00000060827	ENSMUST00000213893	Olfr1193	1140	847				
ENSMUSG00000075121	ENSMUST00000213545	Olfr1195	1191	2428	1529			
ENSMUSG00000075120	ENSMUST00000216928	Olfr1196	842	2056				
ENSMUSG00000075120	ENSMUST00000216977	Olfr1196	123	842	2056			
ENSMUSG00000075119	ENSMUST00000213118	Olfr1197	2565					
ENSMUSG00000075117	ENSMUST00000215179	Olfr1198	4232					
ENSMUSG00000075117	ENSMUST00000215529	Olfr1198	3988					
ENSMUSG00000089892	ENSMUST00000131038	Olfr1199	3253					
ENSMUSG00000089892	ENSMUST00000213138	Olfr1199	1469	1684				
ENSMUSG00000089892	ENSMUST00000124021	Olfr1199	3308					
ENSMUSG00000075115	ENSMUST00000217588	Olfr1200	1982					
ENSMUSG00000059023	ENSMUST00000216213	Olfr1201	1190					
ENSMUSG00000064084	ENSMUST00000214703	Olfr1202	396	2155				
ENSMUSG00000064084	ENSMUST00000217059	Olfr1202	2155					
ENSMUSG00000057447	ENSMUST00000215929	Olfr1205	1219					
ENSMUSG00000061798	ENSMUST00000213283	Olfr1204	289	170	1235			
ENSMUSG00000062757	ENSMUST00000216950	Olfr1206	1220					
ENSMUSG00000075114	ENSMUST00000214297	Olfr1208	3844					
ENSMUSG00000075114	ENSMUST00000214121	Olfr1208	3914					
ENSMUSG00000075113	ENSMUST00000213136	Olfr1209	4605					
ENSMUSG00000075112	ENSMUST00000213412	Olfr1211	5701	772	590			
ENSMUSG00000075112	ENSMUST00000215205	Olfr1211	4298	1350	772	590		
ENSMUSG00000048226	ENSMUST00000215781	Olfr1212	1607	137	1965			
ENSMUSG00000075111	ENSMUST00000168169	Olfr1213	4814	1203				
ENSMUSG00000075111	ENSMUST00000144908	Olfr1213	4412	1203				
ENSMUSG00000075110	ENSMUST00000216026	Olfr1214	2591	1127	331			
ENSMUSG00000075110	ENSMUST00000217469	Olfr1214	2762	1127	331			
ENSMUSG00000100016	ENSMUST00000216271	Olfr1215	4345					
ENSMUSG00000100016	ENSMUST00000214809	Olfr1215	2664	1606				
ENSMUSG00000075107	ENSMUST00000216000	Olfr1216	3036					
ENSMUSG00000075107	ENSMUST00000217000	Olfr1216	2438	542				
ENSMUSG00000101391	ENSMUST00000213669	Olfr1217	4779					
ENSMUSG00000101391	ENSMUST00000214022	Olfr1217	6783					
ENSMUSG00000101391	ENSMUST00000216592	Olfr1217	2349	2200				
ENSMUSG00000075105	ENSMUST00000213609	Olfr1218	1137	172				
ENSMUSG00000075105	ENSMUST00000215048	Olfr1218	2340	2462	172			
ENSMUSG00000075105	ENSMUST00000215054	Olfr1218	4845	172				
ENSMUSG00000075104	ENSMUST00000213724	Olfr1219	507	1221				
ENSMUSG00000075104	ENSMUST00000217421	Olfr1219	4177	1221				
ENSMUSG00000075104	ENSMUST00000214442	Olfr1219	4187	1221	2145			
ENSMUSG00000075104	ENSMUST00000215225	Olfr1219	4187	1221				
ENSMUSG00000101480	ENSMUST00000213288	Olfr1220	3376	5049				
ENSMUSG00000101480	ENSMUST00000099806	Olfr1220	8676					
ENSMUSG00000075102	ENSMUST00000217635	Olfr1221	2637	1808				
ENSMUSG00000075102	ENSMUST00000143255	Olfr1221	1095	1454	1808			
ENSMUSG00000075102	ENSMUST00000213404	Olfr1221	1095	1476	1808			
ENSMUSG00000075101	ENSMUST00000215816	Olfr1222	2299	1632	1069	116	113	1145
ENSMUSG00000075101	ENSMUST00000214027	Olfr1222	2299	1632	1069	100	113	1145
ENSMUSG00000075100	ENSMUST00000217342	Olfr1223	5720					
ENSMUSG00000075099	ENSMUST00000216833	Olfr1224-ps1	2778					
ENSMUSG00000075099	ENSMUST00000216976	Olfr1224-ps1	3014					
ENSMUSG00000075099	ENSMUST00000099793	Olfr1224-ps1	6642					
ENSMUSG00000101918	ENSMUST00000216961	Olfr1225	738	2321				
ENSMUSG00000101918	ENSMUST00000217054	Olfr1225	738					
ENSMUSG00000075097	ENSMUST00000216445	Olfr1226	2581	1559				
ENSMUSG00000075097	ENSMUST00000215987	Olfr1226	2581	2085				
ENSMUSG00000075097	ENSMUST00000215562	Olfr1226	2581	718	1899			
ENSMUSG00000075097	ENSMUST00000220416	Olfr1226	2581	1899				
ENSMUSG00000075097	ENSMUST00000217601	Olfr1226	2581	2693				
ENSMUSG00000075097	ENSMUST00000214709	Olfr1226	2581					
ENSMUSG00000099486	ENSMUST00000216392	Olfr1228	2839	783				
ENSMUSG00000099486	ENSMUST00000215447	Olfr1228	2839					
ENSMUSG00000075095	ENSMUST00000214593	Olfr1229	376	110	2315	1274		
ENSMUSG00000075095	ENSMUST00000213883	Olfr1229	376	110	2185	1274		
ENSMUSG00000075094	ENSMUST00000099787	Olfr1230	0					
ENSMUSG00000075093	ENSMUST00000216144	Olfr1231	3328					
ENSMUSG00000075092	ENSMUST00000213860	Olfr1232	96	2153				
ENSMUSG00000075092	ENSMUST00000215679	Olfr1232	145	2153				
ENSMUSG00000075091	ENSMUST00000215469	Olfr1233	1530					
ENSMUSG00000075091	ENSMUST00000216561	Olfr1233	2012					
ENSMUSG00000075090	ENSMUST00000137692	Olfr1234	1026					
ENSMUSG00000075090	ENSMUST00000111543	Olfr1234	993					
ENSMUSG00000111517	ENSMUST00000217226	Olfr1238	2368					
ENSMUSG00000111517	ENSMUST00000217237	Olfr1238	1925					
ENSMUSG00000075088	ENSMUST00000217181	Olfr1239	1822					
ENSMUSG00000075088	ENSMUST00000216762	Olfr1239	709	1026				
ENSMUSG00000111174	ENSMUST00000216123	Olfr1240	2102					
ENSMUSG00000075086	ENSMUST00000214743	Olfr1241	1215	2270				
ENSMUSG00000075086	ENSMUST00000215055	Olfr1241	1215	2156				
ENSMUSG00000075085	ENSMUST00000111540	Olfr1242	3645					
ENSMUSG00000075085	ENSMUST00000216001	Olfr1242	101	3164				
ENSMUSG00000075085	ENSMUST00000143935	Olfr1242	386	3164				
ENSMUSG00000075084	ENSMUST00000144885	Olfr1243	2451					
ENSMUSG00000111456	ENSMUST00000217402	Olfr1245	1233	1199				
ENSMUSG00000111715	ENSMUST00000213221	Olfr1246	300	1379				
ENSMUSG00000111715	ENSMUST00000217192	Olfr1246	320	1379				
ENSMUSG00000111715	ENSMUST00000217254	Olfr1246	196	1379				
ENSMUSG00000075081	ENSMUST00000111532	Olfr1247	1816	1275				
ENSMUSG00000075081	ENSMUST00000216424	Olfr1247	1816	1407				
