Ensembl_gene_ID	Ensembl_transcript_ID	Gene_symbol	Intron1	Intron2	Intron3	Intron4	Intron5
ENSG00000196071	ENST00000641893	OR2L13	4103				
ENSG00000196071	ENST00000641714	OR2L13	1298	582			
ENSG00000162727	ENST00000366476	OR2M5	0				
ENSG00000198601	ENST00000641211	OR2M2	3046	1972			
ENSG00000198601	ENST00000641836	OR2M2	5096				
ENSG00000228198	ENST00000641626	OR2M3	5748				
ENSG00000171180	ENST00000641868	OR2M4	7329				
ENSG00000177212	ENST00000641220	OR2T33	3942				
ENSG00000177201	ENST00000641276	OR2T12	1792	5786			
ENSG00000177186	ENST00000317965	OR2M7	0				
ENSG00000177174	ENST00000317861	OR14C36	0				
ENSG00000196944	ENST00000366473	OR2T4	0				
ENSG00000198104	ENST00000641644	OR2T6	8656	2740			
ENSG00000175143	ENST00000642005	OR2T1	2869				
ENSG00000196240	ENST00000642130	OR2T2	919	5964			
ENSG00000196240	ENST00000641925	OR2T2	919	2382	3383		
ENSG00000196539	ENST00000359594	OR2T3	0				
ENSG00000203661	ENST00000641363	OR2T5	0				
ENSG00000188558	ENST00000641804	OR2G6	13181				
ENSG00000188558	ENST00000641501	OR2G6	11962				
ENSG00000182783	ENST00000641069	OR2T29	3224				
ENSG00000183310	ENST00000328782	OR2T34	0				
ENSG00000184022	ENST00000642090	OR2T10	3695				
ENSG00000279301	ENST00000641193	OR2T11	7765				
ENSG00000177151	ENST00000641268	OR2T35	5966				
ENSG00000187701	ENST00000641652	OR2T27	3871	535			
ENSG00000187701	ENST00000460972	OR2T27	4555				
ENSG00000189181	ENST00000342623	OR14I1	0				
ENSG00000182083	ENST00000402971	OR6B2	0				
ENSG00000178586	ENST00000641019	OR6B3	854				
ENSG00000196578	ENST00000358642	OR5AC2	0				
ENSG00000231192	ENST00000641874	OR5H1	1829				
ENSG00000236032	ENST00000641380	OR5H14	1813				
ENSG00000236032	ENST00000437310	OR5H14	0				
ENSG00000233412	ENST00000641450	OR5H15	1850				
ENSG00000230301	ENST00000641416	OR5H6	979				
ENSG00000230301	ENST00000615035	OR5H6	0				
ENSG00000197938	ENST00000356526	OR5H2	0				
ENSG00000196098	ENST00000354924	OR5K4	0				
ENSG00000206536	ENST00000383695	OR5K3	0				
ENSG00000232382	ENST00000642057	OR5K1	6258				
ENSG00000232382	ENST00000332650	OR5K1	0				
ENSG00000231861	ENST00000427338	OR5K2	0				
ENSG00000174339	ENST00000307832	OR2Y1	0				
ENSG00000185372	ENST00000642036	OR2V1	4847				
ENSG00000185372	ENST00000641318	OR2V1	597	4194			
ENSG00000185372	ENST00000641367	OR2V1	4962				
ENSG00000185372	ENST00000641551	OR2V1	834	597	4194		
ENSG00000182613	ENST00000641492	OR2V2	6923				
ENSG00000182613	ENST00000641791	OR2V2	297	6923			
ENSG00000230178	ENST00000456475	OR4F3	0				
ENSG00000168131	ENST00000303324	OR2B2	0				
ENSG00000124657	ENST00000244623	OR2B6	0				
ENSG00000204704	ENST00000377175	OR2W1	0				
ENSG00000204703	ENST00000377173	OR2B3	0				
ENSG00000204702	ENST00000641659	OR2J1	901				
ENSG00000204702	ENST00000377171	OR2J1	0				
ENSG00000204701	ENST00000641151	OR2J3	241	169	3005		
ENSG00000204701	ENST00000641960	OR2J3	241	169	580	2223	
ENSG00000204701	ENST00000377169	OR2J3	0				
ENSG00000204700	ENST00000641417	OR2J2	2513				
ENSG00000204700	ENST00000377167	OR2J2	0				
ENSG00000204695	ENST00000641895	OR14J1	4874				
ENSG00000243729	ENST00000641768	OR5V1	12354				
ENSG00000243729	ENST00000377154	OR5V1	8801	342	66329		
ENSG00000112462	ENST00000396806	OR12D3	0				
ENSG00000280236	ENST00000642051	OR12D2	882				
ENSG00000280236	ENST00000623183	OR12D2	0				
ENSG00000204694	ENST00000377148	OR11A1	481				
ENSG00000204694	ENST00000641152	OR11A1	4131				
ENSG00000204694	ENST00000377149	OR11A1	24999	1438	1340	1180	
ENSG00000206474	ENST00000444197	OR10C1	0				
ENSG00000204688	ENST00000377136	OR2H1	1246	1834	1044		
ENSG00000204688	ENST00000377133	OR2H1	1246	1834	1040		
ENSG00000204688	ENST00000377132	OR2H1	1290	1015			
ENSG00000204688	ENST00000396792	OR2H1	0				
ENSG00000237988	ENST00000641137	OR2I1P	2367				
ENSG00000204657	ENST00000641840	OR2H2	2319				
ENSG00000204657	ENST00000383640	OR2H2	0				
ENSG00000180658	ENST00000315453	OR2A4	0				
ENSG00000244623	ENST00000316368	OR2AE1	0				
ENSG00000258083	ENST00000641559	OR9A4	2209				
ENSG00000258083	ENST00000548136	OR9A4	0				
ENSG00000179468	ENST00000350513	OR9A2	0				
ENSG00000225781	ENST00000418316	OR6V1	0				
ENSG00000221910	ENST00000643492	OR2F2	0				
ENSG00000213215	ENST00000643449	OR2F1	3849	839			
ENSG00000213215	ENST00000646094	OR2F1	0				
ENSG00000221813	ENST00000647270	OR6B1	3321				
ENSG00000221813	ENST00000642360	OR6B1	0				
ENSG00000221836	ENST00000641693	OR2A5	1217				
ENSG00000221933	ENST00000641663	OR2A25	4319				
ENSG00000221933	ENST00000641441	OR2A25	3825				
ENSG00000221933	ENST00000408898	OR2A25	0				
ENSG00000221858	ENST00000641592	OR2A12	8513				
ENSG00000221858	ENST00000408949	OR2A12	0				
ENSG00000221989	ENST00000408979	OR2A2	0				
ENSG00000221938	ENST00000641068	OR2A14	5814				
ENSG00000221938	ENST00000408899	OR2A14	0				
ENSG00000212807	ENST00000641810	OR2A42	832	5584			
ENSG00000243896	ENST00000641841	OR2A7	5068				
ENSG00000243896	ENST00000493325	OR2A7	0				
ENSG00000221970	ENST00000641044	OR2A1	5573				
ENSG00000176269	ENST00000320901	OR4F21	0				
ENSG00000168828	ENST00000377981	OR13J1	0				
ENSG00000278889	ENST00000341959	OR2S2	0				
ENSG00000186881	ENST00000334726	OR13F1	0				
ENSG00000148136	ENST00000277216	OR13C4	0				
ENSG00000204246	ENST00000641090	OR13C3	0				
ENSG00000186943	ENST00000335040	OR13C8	0				
ENSG00000277556	ENST00000374779	OR13C5	0				
ENSG00000276119	ENST00000542196	OR13C2	0				
ENSG00000136839	ENST00000259362	OR13C9	0				
ENSG00000179055	ENST00000641530	OR13D1	0				
ENSG00000171133	ENST00000302681	OR2K2	1623				
ENSG00000136834	ENST00000259357	OR1J1	0				
ENSG00000197233	ENST00000335302	OR1J2	0				
ENSG00000239590	ENST00000340750	OR1J4	0				
ENSG00000171505	ENST00000304880	OR1N1	0				
ENSG00000171501	ENST00000373688	OR1N2	0				
ENSG00000171496	ENST00000641027	OR1L8	4875	1422	3857	4090	
ENSG00000165202	ENST00000297913	OR1Q1	0				
ENSG00000280094	ENST00000623530	OR1B1	0				
ENSG00000173679	ENST00000309623	OR1L1	0				
ENSG00000171481	ENST00000304820	OR1L3	0				
ENSG00000136939	ENST00000259466	OR1L4	0				
ENSG00000171459	ENST00000304720	OR1L6	7461				
ENSG00000148215	ENST00000373680	OR5C1	0				
ENSG00000165204	ENST00000277309	OR1K1	0				
ENSG00000256574	ENST00000374401	OR13A1	901	171	2925		
ENSG00000256574	ENST00000553795	OR13A1	7715	171	2991		
ENSG00000221996	ENST00000624801	OR52B4	0				
ENSG00000181963	ENST00000325719	OR52K2	0				
ENSG00000196778	ENST00000641528	OR52K1	5396				
ENSG00000196778	ENST00000642020	OR52K1	5776				
ENSG00000197790	ENST00000360213	OR52M1	0				
ENSG00000226288	ENST00000641896	OR52I2	5007				
ENSG00000226288	ENST00000641486	OR52I2	0				
ENSG00000232268	ENST00000530443	OR52I1	0				
ENSG00000197428	ENST00000641817	OR51D1	2023				
ENSG00000197428	ENST00000357605	OR51D1	0				
ENSG00000180785	ENST00000396952	OR51E1	8457				
ENSG00000180785	ENST00000530215	OR51E1	8457	670			
ENSG00000167332	ENST00000641638	OR51E2	2296				
ENSG00000167332	ENST00000396950	OR51E2	14891				
ENSG00000167332	ENST00000532598	OR51E2	11796	3016			
ENSG00000197674	ENST00000641159	OR51C1P	5965				
ENSG00000280021	ENST00000624103	OR51F1	0				
ENSG00000279270	ENST00000624978	OR52R1	0				
ENSG00000176925	ENST00000322110	OR51F2	0				
ENSG00000176922	ENST00000322101	OR51S1	0				
ENSG00000176900	ENST00000322049	OR51T1	0				
ENSG00000176895	ENST00000641490	OR51A7	3494				
ENSG00000176893	ENST00000641926	OR51G2	3437				
ENSG00000278870	ENST00000623849	OR51G1	0				
ENSG00000205497	ENST00000641898	OR51A4	382				
ENSG00000205496	ENST00000380371	OR51A2	0				
ENSG00000176798	ENST00000641819	OR51L1	2146	1240			
ENSG00000205495	ENST00000380370	OR52J3	0				
ENSG00000176787	ENST00000321522	OR52E2	0				
ENSG00000171944	ENST00000642125	OR52A5	5483				
ENSG00000171944	ENST00000307388	OR52A5	5608				
ENSG00000182070	ENST00000380367	OR52A1	1756				
ENSG00000176742	ENST00000641270	OR51V1	0				
ENSG00000183251	ENST00000380224	OR51B4	0				
ENSG00000167355	ENST00000300773	OR51B5	0				
ENSG00000279012	ENST00000624187	OR51B2	0				
ENSG00000176239	ENST00000380219	OR51B6	0				
ENSG00000184698	ENST00000642046	OR51M1	1435	3925			
ENSG00000167360	ENST00000300778	OR51Q1	0				
ENSG00000167359	ENST00000380211	OR51I1	0				
ENSG00000187918	ENST00000641930	OR51I2	3894				
ENSG00000181609	ENST00000322641	OR52D1	0				
ENSG00000181616	ENST00000322653	OR52H1	2916				
ENSG00000187747	ENST00000345043	OR52B6	0				
ENSG00000181023	ENST00000317121	OR56B1	0				
ENSG00000181074	ENST00000641350	OR52N4	387				
ENSG00000181009	ENST00000641181	OR52N5	1538	2875			
ENSG00000181009	ENST00000317093	OR52N5	0				
ENSG00000181001	ENST00000641645	OR52N1	2250				
ENSG00000180988	ENST00000317037	OR52N2	0				
ENSG00000205409	ENST00000329322	OR52E6	0				
ENSG00000183269	ENST00000537935	OR52E8	0				
ENSG00000180974	ENST00000641726	OR52E4	3504				
ENSG00000277932	ENST00000610445	OR52E5	2361	4918			
ENSG00000184478	ENST00000641905	OR56A3	955	1319	2228		
ENSG00000184478	ENST00000641160	OR56A3	2431	2228			
ENSG00000188691	ENST00000532411	OR56A5	0				
ENSG00000183313	ENST00000332249	OR52L1	0				
ENSG00000183389	ENST00000641156	OR56A4	514	3220			
ENSG00000183389	ENST00000641835	OR56A4	3889				
ENSG00000183389	ENST00000641279	OR56A4	0				
ENSG00000180934	ENST00000641900	OR56A1	2975				
ENSG00000180934	ENST00000641423	OR56A1	6557				
ENSG00000180934	ENST00000641938	OR56A1	0				
ENSG00000180919	ENST00000316529	OR56B4	0				
ENSG00000255307	ENST00000530810	OR52B2	0				
ENSG00000175485	ENST00000311352	OR52W1	0				
ENSG00000188124	ENST00000641124	OR2AG2	2127				
ENSG00000188124	ENST00000641169	OR2AG2	2130				
ENSG00000279486	ENST00000641258	OR2AG1	1546				
ENSG00000184933	ENST00000641196	OR6A2	3659				
ENSG00000166363	ENST00000299454	OR10A5	0				
ENSG00000170790	ENST00000641461	OR10A2	6271				
ENSG00000170782	ENST00000379829	OR10A4	0				
ENSG00000166368	ENST00000299459	OR2D2	0				
ENSG00000178358	ENST00000317834	OR2D3	0				
ENSG00000183303	ENST00000329434	OR5P2	0				
ENSG00000182334	ENST00000641167	OR5P3	4830				
ENSG00000279000	ENST00000642108	OR10A6	183	97	293		
ENSG00000279000	ENST00000641238	OR10A6	183	97	345		
ENSG00000170683	ENST00000642047	OR10A3	1888				
ENSG00000175619	ENST00000309562	OR4B1	0				
ENSG00000172208	ENST00000624868	OR4X2	0				
ENSG00000176567	ENST00000320048	OR4X1	0				
ENSG00000176555	ENST00000319988	OR4S1	0				
ENSG00000176547	ENST00000319856	OR4C3	0				
ENSG00000176540	ENST00000319813	OR4C5	0				
ENSG00000237388	ENST00000446524	OR4A47	0				
ENSG00000258817	ENST00000555099	OR4C13	0				
ENSG00000221954	ENST00000639310	OR4C12	0				
ENSG00000185926	ENST00000328188	OR4C46	0				
ENSG00000221840	ENST00000319760	OR4A5	0				
ENSG00000181961	ENST00000314721	OR4A16	0				
ENSG00000181958	ENST00000641526	OR4A15	0				
ENSG00000181939	ENST00000642128	OR4C15	0				
ENSG00000279514	ENST00000623907	OR4C16	0				
ENSG00000172188	ENST00000641580	OR4C11	607	1234	708		
ENSG00000181927	ENST00000641760	OR4P4	3111				
ENSG00000174982	ENST00000641692	OR4S2	2317				
ENSG00000181903	ENST00000314259	OR4C6	2876				
ENSG00000186886	ENST00000641440	OR5D3P	2161				
ENSG00000279761	ENST00000623930	OR5D13	0				
ENSG00000186113	ENST00000335605	OR5D14	0				
ENSG00000279395	ENST00000625203	OR5L1	0				
ENSG00000186119	ENST00000333976	OR5D18	0				
ENSG00000205030	ENST00000378397	OR5L2	0				
ENSG00000205029	ENST00000378396	OR5D16	0				
ENSG00000187612	ENST00000344514	OR5W2	0				
ENSG00000167825	ENST00000301532	OR5I1	0				
ENSG00000174970	ENST00000641071	OR10AG1	1384				
ENSG00000174970	ENST00000312345	OR10AG1	0				
ENSG00000149133	ENST00000278409	OR5F1	0				
ENSG00000181785	ENST00000641320	OR5AS1	2678				
ENSG00000172154	ENST00000302124	OR8I2	0				
ENSG00000181767	ENST00000313503	OR8H2	884				
ENSG00000181767	ENST00000641311	OR8H2	880				
ENSG00000181761	ENST00000313472	OR8H3	0				
ENSG00000167822	ENST00000641913	OR8J3	2434				
ENSG00000167822	ENST00000642058	OR8J3	1675				
ENSG00000181752	ENST00000313447	OR8K5	0				
ENSG00000174957	ENST00000312298	OR5J2	0				
ENSG00000181718	ENST00000641661	OR5T2	912				
ENSG00000172489	ENST00000313033	OR5T3	0				
ENSG00000181698	ENST00000641665	OR5T1	463	732			
ENSG00000181693	ENST00000641600	OR8H1	866				
ENSG00000181693	ENST00000313022	OR8H1	0				
ENSG00000280314	ENST00000641662	OR8K3	832	2226			
ENSG00000280314	ENST00000641689	OR8K3	3116				
ENSG00000150261	ENST00000279783	OR8K1	0				
ENSG00000172487	ENST00000533152	OR8J1	5901				
ENSG00000172487	ENST00000303039	OR8J1	0				
ENSG00000172199	ENST00000302270	OR8U1	0				
ENSG00000279961	ENST00000623286	OR5R1	0				
ENSG00000284732	ENST00000641310	CTD-3051L14.15	2679	4105	2676		
ENSG00000284732	ENST00000641599	CTD-3051L14.15	2679	6923			
ENSG00000150269	ENST00000279791	OR5M9	0				
ENSG00000174937	ENST00000641993	OR5M3	2679				
ENSG00000181371	ENST00000327216	OR5M8	0				
ENSG00000255223	ENST00000528616	OR5M11	0				
ENSG00000254834	ENST00000526812	OR5M10	0				
ENSG00000255012	ENST00000641076	OR5M1	1337				
ENSG00000172464	ENST00000544374	OR5AP2	0				
ENSG00000172459	ENST00000624596	OR5AR1	0				
ENSG00000174914	ENST00000642097	OR9G1	1179				
ENSG00000172457	ENST00000641581	OR9G4	4871				
ENSG00000172457	ENST00000641668	OR9G4	4867				
ENSG00000181273	ENST00000326855	OR5AK2	0				
ENSG00000186509	ENST00000335397	OR9Q1	31765	123483			
ENSG00000279051	ENST00000302622	OR6Q1	0				
ENSG00000172377	ENST00000641439	OR9I1	634	4971			
ENSG00000172377	ENST00000641478	OR9I1	791	4971			
ENSG00000186513	ENST00000641291	OR9Q2	1210				
ENSG00000197887	ENST00000641683	OR1S2	0				
ENSG00000280204	ENST00000641544	OR1S1	1891				
ENSG00000180475	ENST00000316770	OR10Q1	0				
ENSG00000172772	ENST00000395079	OR10W1	0				
ENSG00000197786	ENST00000357377	OR5B17	0				
ENSG00000172769	ENST00000641865	OR5B3	3365				
ENSG00000172365	ENST00000641342	OR5B2	1342	3332			
ENSG00000172365	ENST00000302581	OR5B2	0				
ENSG00000172362	ENST00000641921	OR5B12	1875				
ENSG00000172362	ENST00000302572	OR5B12	0				
ENSG00000198283	ENST00000360374	OR5B21	0				
ENSG00000176495	ENST00000641998	OR5AN1	5173				
ENSG00000176495	ENST00000641850	OR5AN1	4352				
ENSG00000176495	ENST00000313940	OR5AN1	0				
ENSG00000172324	ENST00000302040	OR5A2	3126				
ENSG00000172324	ENST00000641361	OR5A2	2789				
ENSG00000172324	ENST00000641673	OR5A2	0				
ENSG00000172320	ENST00000641045	OR5A1	6300				
ENSG00000166884	ENST00000300127	OR4D6	0				
ENSG00000254466	ENST00000530162	OR4D10	97	3468			
ENSG00000176200	ENST00000313253	OR4D11	0				
ENSG00000172742	ENST00000641278	OR4D9	3157	116			
ENSG00000172742	ENST00000641962	OR4D9	2926	116			
ENSG00000172289	ENST00000307552	OR10V1	0				
ENSG00000171561	ENST00000641541	OR2AT4	605	5724			
ENSG00000171561	ENST00000641593	OR2AT4	667	5724			
ENSG00000171561	ENST00000641504	OR2AT4	6463				
ENSG00000171561	ENST00000641931	OR2AT4	605	5724	438		
ENSG00000221931	ENST00000327930	OR6X1	0				
ENSG00000196099	ENST00000309154	OR6M1	0				
ENSG00000181518	ENST00000641687	OR8D4	4159				
ENSG00000181518	ENST00000321355	OR8D4	0				
ENSG00000171014	ENST00000307033	OR4D5	0				
ENSG00000181499	ENST00000321252	OR6T1	0				
ENSG00000196248	ENST00000641123	OR10S1	0				
ENSG00000198674	ENST00000307002	OR10G6	0				
ENSG00000254737	ENST00000641722	OR10G4	2435				
ENSG00000254737	ENST00000641521	OR10G4	1806	307			
ENSG00000236981	ENST00000375024	OR10G9	0				
ENSG00000234560	ENST00000641224	OR10G8	2728				
ENSG00000234560	ENST00000431524	OR10G8	0				
ENSG00000182634	ENST00000641585	OR10G7	1864				
ENSG00000197309	ENST00000641351	OR10D3	1875				
ENSG00000197309	ENST00000641546	OR10D3	971				
ENSG00000197309	ENST00000318666	OR10D3	0				
ENSG00000197849	ENST00000641972	OR8G1	6436	1779			
ENSG00000255298	ENST00000641992	OR8G5	8283				
ENSG00000255298	ENST00000641707	OR8G5	0				
ENSG00000196341	ENST00000641015	OR8D1	2044	789			
ENSG00000196341	ENST00000641897	OR8D1	1151	2044	789		
ENSG00000196341	ENST00000357821	OR8D1	0				
ENSG00000279116	ENST00000624618	OR8D2	0				
ENSG00000284680	ENST00000641451	OR8B2	1013				
ENSG00000284609	ENST00000641139	OR8B3	1321				
ENSG00000280090	ENST00000356130	OR8B4	0				
ENSG00000197125	ENST00000642064	OR8B8	3952	386			
ENSG00000197125	ENST00000328064	OR8B8	0				
ENSG00000170953	ENST00000306842	OR8B12	0				
ENSG00000196119	ENST00000641670	OR8A1	3396				
ENSG00000196119	ENST00000284287	OR8A1	0				
ENSG00000172640	ENST00000310248	OR10AD1	0				
ENSG00000284723	ENST00000641651	OR8S1	0				
ENSG00000198678	ENST00000328207	OR5BS1P	2139				
ENSG00000170605	ENST00000641329	OR9K2	311	2914			
ENSG00000170605	ENST00000641374	OR9K2	0				
ENSG00000179919	ENST00000326258	OR10A7	0				
ENSG00000197706	ENST00000343870	OR6C74	0				
ENSG00000188324	ENST00000358433	OR6C6	1061				
ENSG00000205330	ENST00000642104	OR6C1	5967				
ENSG00000205330	ENST00000379668	OR6C1	0				
ENSG00000205329	ENST00000641364	OR6C3	1304				
ENSG00000205329	ENST00000641740	OR6C3	849				
ENSG00000187857	ENST00000641576	OR6C75	743	993			
ENSG00000205328	ENST00000379665	OR6C65	0				
ENSG00000185821	ENST00000328314	OR6C76	0				
ENSG00000179695	ENST00000641516	OR6C2	7597				
ENSG00000179695	ENST00000641202	OR6C2	7167				
ENSG00000184954	ENST00000327335	OR6C70	0				
ENSG00000205327	ENST00000548615	OR6C68	0				
ENSG00000179626	ENST00000641851	OR6C4	1242				
ENSG00000179626	ENST00000641569	OR6C4	1090				
ENSG00000179626	ENST00000394256	OR6C4	0				
ENSG00000179615	ENST00000641114	OR2AP1	1597				
ENSG00000175398	ENST00000309675	OR10P1	0				
ENSG00000257115	ENST00000550708	OR11H12	0				
ENSG00000258453	ENST00000556246	OR11H2	0				
ENSG00000176294	ENST00000557414	OR4N2	14252	28424	60270	4988	
ENSG00000176294	ENST00000557677	OR4N2	23595				
ENSG00000176294	ENST00000641240	OR4N2	4988				
ENSG00000182652	ENST00000642117	OR4Q3	3734				
ENSG00000176299	ENST00000641200	OR4M1	6700				
ENSG00000176299	ENST00000315957	OR4M1	0				
ENSG00000165762	ENST00000641885	OR4K2	110				
ENSG00000165762	ENST00000298642	OR4K2	0				
ENSG00000176281	ENST00000315915	OR4K5	0				
ENSG00000155249	ENST00000641172	OR4K1	4502				
ENSG00000155249	ENST00000641429	OR4K1	68	4288			
ENSG00000155249	ENST00000285600	OR4K1	0				
ENSG00000169488	ENST00000641512	OR4K15	0				
ENSG00000169484	ENST00000641793	OR4K14	3920				
ENSG00000176253	ENST00000641904	OR4K13	956				
ENSG00000176253	ENST00000641664	OR4K13	660				
ENSG00000176246	ENST00000315683	OR4L1	0				
ENSG00000176230	ENST00000641386	OR4K17	6575				
ENSG00000176230	ENST00000641633	OR4K17	1017	5376			
ENSG00000184394	ENST00000641086	OR4N5	1952	2513			
ENSG00000196832	ENST00000641879	OR11G2	5767				
ENSG00000196832	ENST00000641682	OR11G2	6394				
ENSG00000176219	ENST00000315519	OR11H6	0				
ENSG00000176198	ENST00000641082	OR11H4	3479				
ENSG00000176198	ENST00000641525	OR11H4	0				
ENSG00000181803	ENST00000320704	OR6S1	0				
ENSG00000169327	ENST00000641697	OR5AU1	2936				
ENSG00000169327	ENST00000641039	OR5AU1	2459				
ENSG00000169327	ENST00000304418	OR5AU1	0				
ENSG00000169208	ENST00000641185	OR10G3	4853	4064			
ENSG00000169208	ENST00000641040	OR10G3	9024				
ENSG00000255582	ENST00000542433	OR10G2	0				
ENSG00000221977	ENST00000641524	OR4E2	2562	4063	4328		
ENSG00000276240	ENST00000641792	OR4E1	2137				
ENSG00000255804	ENST00000540461	OR6J1	9259				
ENSG00000182974	ENST00000332663	RP11-294C11.1	0				
ENSG00000279408	ENST00000623441	RP11-294C11.3	0				
ENSG00000274102	ENST00000614722	OR4M2	0				
ENSG00000183706	ENST00000328795	OR4N4	0				
ENSG00000184140	ENST00000328882	OR4F6	2141				
ENSG00000182854	ENST00000332238	OR4F15	5877				
ENSG00000177693	ENST00000650172	OR4F4	0				
ENSG00000168124	ENST00000304646	OR1F1	0				
ENSG00000168158	ENST00000304936	OR2C1	0				
ENSG00000262628	ENST00000575751	OR1D5	0				
ENSG00000184166	ENST00000641833	OR1D2	11052				
ENSG00000184166	ENST00000641064	OR1D2	11057				
ENSG00000183024	ENST00000328890	OR1G1	0				
ENSG00000172150	ENST00000381951	OR1A2	0				
ENSG00000172146	ENST00000641322	OR1A1	7615				
ENSG00000172146	ENST00000641732	OR1A1	3468	3016			
ENSG00000221882	ENST00000641164	OR3A2	0				
ENSG00000221882	ENST00000642052	OR3A2	5434				
ENSG00000221882	ENST00000573491	OR3A2	2225	47677	56879	152	
ENSG00000221882	ENST00000576166	OR3A2	49998	56879	152		
ENSG00000180090	ENST00000323404	OR3A1	5694				
ENSG00000180042	ENST00000572493	OR1R1P	0				
ENSG00000180016	ENST00000322608	OR1E1	0				
ENSG00000159961	ENST00000641141	OR3A3	493	8408			
ENSG00000159961	ENST00000574571	OR3A3	0				
ENSG00000127780	ENST00000248384	OR1E2	0				
ENSG00000141194	ENST00000641449	OR4D1	844	5338			
ENSG00000255713	ENST00000545221	OR4D2	2584				
ENSG00000255713	ENST00000641866	OR4D2	0				
ENSG00000176695	ENST00000585993	OR4F17	315	3069			
ENSG00000176695	ENST00000618231	OR4F17	3467				
ENSG00000181733	ENST00000641125	OR2Z1	1063	7709			
ENSG00000170929	ENST00000641627	OR1M1	6074				
ENSG00000170929	ENST00000429566	OR1M1	0				
ENSG00000170923	ENST00000641081	OR7G2	4054				
ENSG00000161807	ENST00000541538	OR7G1	0				
ENSG00000170920	ENST00000305444	OR7G3	0				
ENSG00000188000	ENST00000642043	OR7D2	6645				
ENSG00000188000	ENST00000641288	OR7D2	1574	4980			
ENSG00000188000	ENST00000344248	OR7D2	0				
ENSG00000174667	ENST00000641244	OR7D4	4346				
ENSG00000174667	ENST00000641669	OR7D4	4349				
ENSG00000174667	ENST00000308682	OR7D4	0				
ENSG00000237521	ENST00000641946	OR7E24	3567				
ENSG00000237521	ENST00000456448	OR7E24	0				
ENSG00000127530	ENST00000641666	OR7C1	25080	9041	88	106	
ENSG00000127530	ENST00000642030	OR7C1	13588	11425	9041	88	106
ENSG00000127530	ENST00000642000	OR7C1	25080	9656			
ENSG00000127530	ENST00000248073	OR7C1	0				
ENSG00000188269	ENST00000322301	OR7A5	6819				
ENSG00000188269	ENST00000594432	OR7A5	0				
ENSG00000127515	ENST00000641129	OR7A10	6610				
ENSG00000185385	ENST00000642123	OR7A17	2772	222			
ENSG00000185385	ENST00000641113	OR7A17	4069	222			
ENSG00000127529	ENST00000248072	OR7C2	0				
ENSG00000094661	ENST00000641398	OR1I1	4776				
